questionnaire,item,item_index,r_pc1,var,n_models
Interpersonal Reactivity Index (IRI),"When I see someone being taken advantage of, I feel kind of protective towards them. ",8,0.0377,0.485,49
EPQ-R,Do you nearly always have a 'ready answer' when people talk to you?,62,0.0373,0.202,48
RWA scale 22-item,There is absolutely nothing wrong with nudist camps.,7,0.0365,2.315,48
IRQ,I can easily imagine and mentally rotate three-dimensional geometric figures,28,0.0363,0.609,47
Schwartz_Values,Caring for others is one of the most important things in life,14,0.0342,0.538,49
BFI-2,Is talkative.,45,0.0334,0.404,49
Schwartz_Values,I hold to my core values no matter what,16,0.0317,0.431,49
HEXACO,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",36,0.0295,0.493,49
HEXACO,I am an ordinary person who is no better than others.,23,0.0293,0.585,48
HEXACO,"I would like to live in a very expensive, high-class neighborhood.",41,0.0263,0.491,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think I must learn to live with it.,7,0.0259,0.528,49
Interpersonal Reactivity Index (IRI),"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while. ",24,0.0259,0.445,49
EPQ-R,Have you ever said anything bad or nasty about anyone?,52,0.0229,0.251,46
Rosenberg Self-Esteem Scale,"On the whole, I am satisfied with myself.",0,0.022,0.381,48
HEXACO,I am energetic nearly all the time.,21,0.0208,0.663,50
Moral Foundations Questionnaire (MFQ-30),Whether or not an action caused chaos or disorder,14,0.0202,0.383,48
CERQ (Cognitive Emotion Regulation Questionnaire),I think about how to change the situation.,18,0.018,0.552,49
Psychological Well-Being Scales,"In general, I feel confident and positive about myself.",11,0.0177,1.887,48
The Internal Representation Questionnaire,I can easily imagine the sound of a trumpet getting louder,35,0.0165,1.346,47
HEXACO,I tend to be lenient in judging other people.,56,0.015,0.539,50
Adult Temperament Questionnaire,I usually like to talk a lot.,18,0.0147,1.582,49
CMQ Conspiracy mentality,Government agencies closely monitor all citizens,2,0.0143,3.751,50
Gavagai,"To be honest, you can’t really change how gavagai you are",3,0.0142,1.022,49
SVQ,I sometimes verbalize my thoughts when I'm learning to use new computer software,13,0.0131,2.035,49
Adult Temperament Questionnaire,I sometimes seem to understand things intuitively.,23,0.0102,1.208,49
HEXACO,People have often told me that I have a good imagination.,60,0.01,0.64,50
Basic Psychological Needs Scale,People at work tell me I am good at what I do.,24,0.0097,1.253,50
Adult Temperament Questionnaire,I usually like to spend my free time with people.,66,0.0072,1.055,50
PROTESTANT WORK ETHIC SCALE_,The person who can approach an unpleasant task with enthusiasm is the person who gets ahead,15,0.0071,0.683,49
Psychological Well-Being Scales,I like most aspects of my personality.,23,0.007,1.639,50
BIS_BAS Scales,I often wonder why people act the way they do.,16,0.0068,0.534,49
BFI-2,Keeps things neat and tidy.,32,0.0067,0.314,49
EPQ-R,Do you stop to think things over before doing anything?,1,0.0043,0.075,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think that other people go through much worse experiences.,25,0.0001,0.461,50
Self-Monitoring Scale,I'm not always the person I appear to be.,15,-0.0003,0.246,47
Psychological Well-Being Scales,I do not fit very well with the people and the community around me.,13,-0.0011,1.277,48
Need for Closure Scale (NFCS),I find that establishing a consistent routine enables me to enjoy life more.,31,-0.002,0.211,48
HEXACO,I don’t mind doing jobs that involve dangerous work.,28,-0.0021,0.716,47
Schwartz_Values,Helping others is the most important thing,1,-0.0045,0.583,47
EPQ-R,Do you take much notice of what people think?,4,-0.0087,0.253,49
IRQ,"When thinking about a social problem, I often talk it through in my head",15,-0.0121,0.624,50
Self-Monitoring Scale,"My behavior is usually an expression of my true inner feelings, attitudes, and beliefs.",1,-0.013,0.255,49
BFI-2,Keeps their emotions under control.,43,-0.0131,0.589,48
HEXACO,I try to give generously to those in need.,97,-0.0132,0.373,49
Self-Talk Scale,I’m mentally exploring a possible course of action,8,-0.0139,0.753,49
Psychological Well-Being Scales,I have a sense of direction and purpose in life.,10,-0.0159,2.363,50
Ambivalent Sexism Inventory,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,17,-0.0166,2.905,47
Varieties of Inner Speech Questionnaire-R,"When I think to myself in words about upsetting things, I can easily change topics in my mind and talk to myself about other things",25,-0.017,2.022,49
Interpersonal Reactivity Index (IRI),I sometimes try to understand my friends better by imagining how things look from their perspective. ,10,-0.0173,0.635,49
Gavagai,You can always substantially change how gavagai you are,4,-0.0228,1.029,49
Need for Closure Scale (NFCS),It's annoying to listen to someone who cannot seem to make up his or her line.,30,-0.0232,0.923,47
Need for Closure Scale (NFCS),I'd rather know bad news than stay in a state of uncertainty.,37,-0.0257,0.366,49
Basic Psychological Needs Scale,I have been able to learn interesting new skills on my job.,30,-0.0258,1.212,48
BFI-2,"Is relaxed, handles stress well.",3,-0.0259,0.327,50
PROTESTANT WORK ETHIC SCALE_,"Money acquired easily, g., through gambling or speculation, is usually spent unwisely.",2,-0.026,0.823,48
Self-Monitoring Scale,I would probably make a good actor.,7,-0.0276,0.255,48
Individualism-collectivism IND-COL,Competition is law of nature,18,-0.0286,1.688,48
Personal Need for Structure (PNS) Scale,I enjoy having a clear and structured mode of life,2,-0.0298,0.542,49
Self-Monitoring Scale,I am not particularly good at making other people like me.,13,-0.0312,0.247,49
Psychological Well-Being Scales,"I have confidence in my opinions, even if they are contrary to the general consensus.",24,-0.0324,1.451,49
Self-Monitoring Scale,"At parties and social gatherings, I do not attempt to do or say things that others will like.",2,-0.0348,0.242,49
BIS_BAS Scales,I'm always willing to try something new if I think it will be fun.,4,-0.0353,0.296,49
EPQ-R,Do good manners and cleanliness matter much to you?,40,-0.0356,0.061,47
Individualism-collectivism IND-COL,We should keep our aging parents with us at home,9,-0.0376,1.645,49
Bayesian Racism Scale,Law enforcement officers should act as if members of all racial groups are equally likely to commit crimes.,4,-0.0385,3.439,50
Adult Temperament Questionnaire,It is easy for me to hold back my laughter in a situation when laughter wouldn’t be appropriate.,25,-0.0388,1.504,50
NEED FOR COGNITION SCALE,I prefer my life to be filled with puzzles that I must solve.,12,-0.0449,0.634,45
Schwartz_Values,I believe in fight for equality,2,-0.0467,1.053,49
Five Facet Mindfullness Questionnaire (FFMQ),I do jobs or tasks automatically without being aware of what I’m doing.,33,-0.0474,0.924,50
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",4,-0.0475,0.5,49
Spheres of Control-3,"In my personal relationships, the other person usually has more control than I do.",1,-0.0481,1.056,49
BFI-2,Has a forgiving nature.,26,-0.049,0.245,50
Rosenberg Self-Esteem Scale,I feel I do not have much to be proud of,4,-0.0499,0.592,49
BFI-2,Is less active than other people.,25,-0.0507,0.594,50
HEXACO,"Even when people make a lot of mistakes, I rarely say anything negative.",80,-0.0518,0.509,47
Adult Temperament Questionnaire,Creative ideas sometimes present themselves to me without effort.,73,-0.0553,1.615,50
EPQ-R,Should people always respect the law?,17,-0.0558,0.231,49
Religious Orientation Scale-R,It doesn’t much matter what I believe so long as I am good. ,2,-0.0564,0.571,50
Basic Psychological Needs Scale,I pretty much keep to myself and don't have a lot of social contacts.,6,-0.057,2.979,48
Self-Monitoring Scale,"When I am uncertain how to act in a social situation, I look to the behavior of others for cues.",6,-0.0574,0.237,49
Psychological Well-Being Scales,I enjoy personal and mutual conversations with family members or friends.,21,-0.0602,0.964,48
NEED FOR COGNITION SCALE,I usually end up deliberating about issues even when they do not affect me personally.,17,-0.0633,0.78,47
Psychological Well-Being Scales,I feel like many of the people I know have gotten more out of life than I have.,17,-0.0685,1.119,47
Spheres of Control-3,"In the long run, we the voters are responsible for bad government on a national as well as a local level.",29,-0.07,0.953,50
Adult Temperament Questionnaire,"I would probably not enjoy a fast, wild carnival ride.",43,-0.0701,2.325,47
Interpersonal Reactivity Index (IRI),I am usually pretty effective in dealing with emergencies. ,18,-0.0703,0.332,49
EPQ-R,Do you believe one has special duties to one's family?,95,-0.0708,0.11,49
RWA scale 22-item,"Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else.",10,-0.0729,0.51,48
Balanced Inventory of Desirable Responding Version 6,I am not a safe driver when I exceed the speed limit.,7,-0.0736,4.153,49
Basic Psychological Needs Scale,People are generally pretty friendly towards me.,20,-0.0755,0.856,50
Basic Psychological Needs Scale,People I know tell me I am good at what I do.,4,-0.0769,1.0,49
HEXACO,I think that most people like some aspects of my personality.,27,-0.0815,0.375,49
Balanced Inventory of Desirable Responding Version 6,I never regret my decisions.,10,-0.0818,3.605,49
Self-Monitoring Scale-Revised,I have the ability to control the way I come across to people‚ depending on the impression I wish to give them.,2,-0.0826,0.792,49
BFI-2,"Is compassionate, has a soft heart.",1,-0.0826,0.264,49
Self-Talk Scale,I try to anticipate what someone will say and how I’ll respond to him or her,10,-0.083,0.516,49
Self-Monitoring Scale-Revised,I have found that I can adjust my behaviour to meet the requirements of any situation I find myself in.,9,-0.0835,0.405,47
EPQ-R,Are you a talkative person?,5,-0.0836,0.217,49
IRQ,"If I am walking somewhere by myself, I often have a silent conversation with myself",11,-0.0839,0.5,49
SVQ,I sometimes verbalize my thoughts when I'm working on a difficult problem,0,-0.0839,1.879,48
Basic Psychological Needs Scale,I feel like I can pretty much be myself at work.,37,-0.084,1.443,50
PROTESTANT WORK ETHIC SCALE_,There are few satisfactions equal to the realization that one has done his [her] best at a job,3,-0.0841,0.447,47
EPQ-R,Do you sometimes talk about things you know nothing about?,31,-0.0848,0.25,49
Adult Temperament Questionnaire,I rarely feel sad after saying goodbye to friends or relatives.,8,-0.086,2.521,48
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I am feeling negative emotions, I make sure not to express them.",8,-0.0865,1.842,49
Balanced Inventory of Desirable Responding Version 6,I am a completely rational person.,14,-0.0921,1.559,49
Psychological Well-Being Scales,"In many ways, I feel disappointed about my achievements in life.",29,-0.0954,1.223,48
Balanced Inventory of Desirable Responding Version 6,I don’t care to know what other people really think of me.,2,-0.0958,2.67,47
MCQ-30,I monitor my thoughts,11,-0.0987,0.238,47
Spheres of Control-3,I can learn almost anything if I set my mind to it.,9,-0.099,0.371,50
Psychological Well-Being Scales,"When I look at the story of my life, I am pleased with how things have turned out.",5,-0.1043,1.041,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think that it could have all been much worse.,24,-0.108,0.521,50
PROTESTANT WORK ETHIC SCALE_,People should have more leisure time to spend in relaxation,8,-0.1084,0.41,48
State Trait Anxiety Inventory,I am relaxed,14,-0.1087,0.987,49
The Internal Representation Questionnaire,"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold",33,-0.1095,0.783,48
EPQ-R,Do you like doing things in which you have to act quickly?,66,-0.1108,0.166,49
Psychological Well-Being Scales,"I am not afraid to voice my opinions, even when they are in opposition to the opinions of most people.",0,-0.1118,0.952,49
Personal Need for Structure (PNS) Scale,I like a place for everything and everything in its place,3,-0.1126,0.725,49
BFI-2,"Is original, comes up with new ideas.",59,-0.1142,0.26,49
EPQ-R,Are you always willing to admit it when you have made a mistake?,97,-0.1158,0.214,50
State Trait Anxiety Inventory,I feel at ease,4,-0.1158,0.629,50
Psychological Well-Being Scales,"I judge myself by what I think is important, not by the values of what others think is important.",36,-0.1183,2.314,46
Rosenberg Self-Esteem Scale,"I feel that I'm a person of worth, at least on an equal plane with others",6,-0.1198,0.588,49
Psychological Well-Being Scales,I have the sense that I have developed a lot as a person over time.,20,-0.1211,1.955,49
Psychological Well-Being Scales,"For me, life has been a continuous process of learning, changing, and growth.",32,-0.1237,0.631,48
Schwartz_Values,Things go more smoothly when people follow established rules,28,-0.1241,0.296,50
Individualism-collectivism IND-COL,If a co-worker gets a prize I would feel proud,23,-0.1296,1.884,49
HEXACO,I have sympathy for people who are less fortunate than I am.,96,-0.1299,0.463,49
EPQ-R,Do you like mixing with people?,57,-0.1322,0.11,49
BFI-2,Prefers to have others take charge.,50,-0.1322,0.657,49
The Internal Representation Questionnaire,The old saying “A picture is worth a thousand words” is certainly true for me,3,-0.133,0.391,23
State Trait Anxiety Inventory,I feel steady,18,-0.1334,0.645,49
IRQ,It is easy for me to imagine the sensation of licking a brick,31,-0.1345,1.088,49
Schwartz_Values,All people are fundamentally equal,27,-0.1347,0.814,49
Individualism-collectivism IND-COL,I feel good when I cooperate with others,31,-0.1375,2.117,49
Self-Monitoring Scale,I have considered being an entertainer.,17,-0.1375,0.244,48
Need for Closure Scale (NFCS),I think that having clear rules and order at work is essential for success.,0,-0.139,0.383,48
Social Dominance Orientation Scale 7,Group equality should be our ideal.,9,-0.1419,1.262,48
Schwartz_Values,It helps me to know what to expect,22,-0.1426,0.285,49
PROTESTANT WORK ETHIC SCALE_,The most difficult college courses usually turn out to be the most rewarding,4,-0.1439,0.467,49
NEED FOR COGNITION SCALE,I would prefer complex to simple problems.,0,-0.1443,0.306,49
HEXACO,"My attitude toward people who have treated me badly is ""forgive and forget"".",26,-0.1452,0.583,49
Individualism-collectivism IND-COL,Children should feel honored if their parents receive a distinguished award,13,-0.1487,2.467,49
Spheres of Control-3,"Once I make plans, I am almost certain to make them work.",3,-0.1511,0.339,48
The Internal Representation Questionnaire,"When thinking about a social problem, I often talk it through in my head",15,-0.1516,0.292,49
CMQ Conspiracy mentality,"Many very important things happen in the world, which the public is never informed about",0,-0.1519,2.498,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think that I have to accept that this has happened.,4,-0.1533,0.369,50
The Internal Representation Questionnaire,If I imagine my memories visually they are more often static than moving,9,-0.1535,0.368,48
HEXACO,I generally accept people’s faults without complaining about them.,32,-0.1563,0.3,50
Five Facet Mindfullness Questionnaire (FFMQ),"When I have distressing thoughts or images, I am able just to notice them without reacting.",28,-0.1563,0.763,47
Adult Temperament Questionnaire,"When I try something new, I am rarely concerned about failing.",74,-0.1626,1.633,50
IRQ,I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,29,-0.1628,0.915,50
Social Dominance Orientation Scale 7,We should do what we can to equalize conditions for different groups.,11,-0.1633,1.208,49
Need for Closure Scale (NFCS),I like to have a place for everything and everything in its place.,34,-0.164,0.469,49
Individualism-collectivism IND-COL,When I succeeded‚ it is usually because of my abilities,20,-0.1657,1.714,50
Psychological Well-Being Scales,My attitude about myself is probably not as positive as most people feel about themselves.,35,-0.1689,1.647,46
The Internal Representation Questionnaire,I can easily imagine and mentally rotate three-dimensional geometric figures,28,-0.169,0.705,47
Psychological Well-Being Scales,"When I compare myself to friends and acquaintances, it makes me feel good about who I am.",41,-0.1691,0.945,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think that the situation also has its positive sides.,22,-0.1693,0.415,50
HEXACO,"I would never accept a bribe, even if it were very large.",59,-0.1696,0.449,50
Adult Temperament Questionnaire,"When interrupted or distracted, I can easily shift my attention back.",34,-0.1699,1.193,50
NEED FOR COGNITION SCALE,"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",14,-0.1709,0.372,49
Adult Temperament Questionnaire,"If I think of something that needs to be done, I usually get right to work on it.",46,-0.1712,0.849,48
Psychological Well-Being Scales,Maintaining close relationships has been difficult and frustrating for me.,9,-0.1717,1.541,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I know that I can find a way to eventually feel better",21,-0.1737,0.341,50
HEXACO,I often push myself very hard when trying to achieve a goal.,31,-0.1747,0.327,50
Basic Psychological Needs Scale,I am free to express my ideas and opinions on the job.,28,-0.1748,1.583,49
Basic Psychological Needs Scale,There is not much opportunity for me to decide for myself how to go about my work.,40,-0.1755,2.335,50
HEXACO,I am usually quite flexible in my opinions when people disagree with me.,38,-0.1761,0.44,48
EPQ-R,Would it upset you a lot to see a child or an animal suffer?,11,-0.1786,0.078,48
Self-Monitoring Scale,I find it hard to imitate the behavior of other people.,0,-0.1788,0.208,49
Five Facet Mindfullness Questionnaire (FFMQ),"Even when I’m feeling terribly upset, I can find a way to put it into words.",26,-0.1836,0.738,48
EPQ-R,Do you like to arrive at appointments in plenty of time?,63,-0.184,0.039,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think that I have to accept the situation.,5,-0.1845,0.475,48
RWA scale 22-item,Gays and lesbians are just as healthy and moral as anybody else.,3,-0.1853,1.261,50
HEXACO,"I plan ahead and organize things, to avoid scrambling at the last minute.",25,-0.1862,0.355,49
Ambivalent Sexism Inventory,Feminists are not seeking for women to have more power than men.,6,-0.1874,1.031,48
Self-Talk Scale,I want to replay something that I’ve said to another person,15,-0.1909,0.356,23
Varieties of Inner Speech Questionnaire-R,"If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.",14,-0.1945,3.042,48
EPQ-R,Do most things taste the same to you?,55,-0.1963,0.108,50
Basic Psychological Needs Scale,I generally feel free to express my ideas and opinions.,7,-0.1999,0.834,50
Adult Temperament Questionnaire,I tend to notice emotional aspects of paintings and pictures.,17,-0.2007,0.791,49
Psychological Well-Being Scales,I don't have a good sense of what it is I'm trying to accomplish in life.,22,-0.2013,2.55,49
Basic Psychological Needs Scale,"In my daily life, I frequently have to do what I am told.",10,-0.2042,1.972,48
EPQ-R,Have you ever insisted on having your own way?,81,-0.2049,0.183,47
Self-Monitoring Scale,"In order to get along and be liked, I tend to be what people expect me to be rather than anything else.",18,-0.2051,0.253,49
Moral Foundations Questionnaire (MFQ-30),One of the worst things a person could do is hurt a defenseless animal.,6,-0.2057,0.02,49
Self-Monitoring Scale,I can look anyone in the eye and tell a lie with a straight face (if for a right end).,23,-0.206,0.236,47
Adult Temperament Questionnaire,I would not enjoy yelling as loud as I can.,76,-0.2089,3.443,48
Self-Monitoring Scale,I can only argue for ideas which I already believe.,3,-0.2096,0.175,50
Moral Foundations Questionnaire (MFQ-30),Whether or not some people were treated differently than others,1,-0.2101,0.496,48
MCQ-30,I pay close attention to the way my mind works,17,-0.2114,0.355,48
Moral Foundations Questionnaire (MFQ-30),Whether or not someone cared for someone weak or vulnerable,6,-0.2121,0.504,49
Psychological Well-Being Scales,It's difficult for me to voice my own opinions on controversial matters.,30,-0.2122,1.842,49
Balanced Inventory of Desirable Responding Version 6,I am very confident of my judgments.,16,-0.2136,1.085,48
EPQ-R,Do people tell you a lot of lies?,94,-0.2136,0.137,50
HEXACO,I can handle difficult situations without needing emotional support from anyone else.,40,-0.2157,1.184,48
BFI-2,"Is inventive, finds clever ways to do things.",14,-0.2158,0.248,49
Adult Temperament Questionnaire,I usually finish doing things before they are due.,54,-0.2173,1.208,49
Need for Closure Scale (NFCS),I always see many possible solutions to problems I face.,36,-0.2185,0.44,48
Five Facet Mindfullness Questionnaire (FFMQ),"When I have distressing thoughts or images, I feel calm soon after.",23,-0.2203,1.096,50
EPQ-R,"If you say you will do something, do you always keep your promise no matter how inconvenient it might be?",14,-0.2206,0.255,49
Gavagai,"No matter who you are, you can significantly change your gavagai level",2,-0.227,0.546,48
Schwartz_Values,The highest goal is in serving humanity,23,-0.2287,0.65,47
Spheres of Control-3,Most of what happens in my career is beyond my control.,24,-0.2303,1.755,49
EPQ-R,Have you ever taken advantage of someone?,70,-0.2309,0.166,49
HEXACO,I like people who have unconventional views.,42,-0.2396,0.337,50
BFI-2,"Is emotionally stable, not easily upset.",28,-0.2404,0.343,50
Psychological Well-Being Scales,I do not enjoy being in new situations that require me to change my old familiar ways of doing things.,26,-0.2406,2.218,46
The Internal Representation Questionnaire,It is easy for me to imagine the sensation of licking a brick,31,-0.2415,1.191,48
CERQ (Cognitive Emotion Regulation Questionnaire),I think about what I can do best.,16,-0.2428,0.202,49
EPQ-R,Would you dodge paying taxes if you were sure you could never be found out?,76,-0.2428,0.078,48
Adult Temperament Questionnaire,I am usually a patient person.,37,-0.2441,1.153,49
EPQ-R,Do you tend to keep in the background on social occasions?,23,-0.2442,0.235,50
BFI-2,Rarely feels excited or eager.,10,-0.2492,1.005,49
Adult Temperament Questionnaire,I seldom become sad when I hear of an unhappy event.,33,-0.2497,3.914,50
State Trait Anxiety Inventory,I feel comfortable,9,-0.2504,0.793,48
Moral Foundations Questionnaire (MFQ-30),It is better to do good than to do bad.,5,-0.2526,0.1,49
BIS_BAS Scales,When I want something I usually go all-out to get it.,8,-0.2568,0.803,47
Individualism-collectivism IND-COL,Children should be taught to place duty before pleasure,17,-0.2574,0.885,49
The Internal Representation Questionnaire,"In school, I had no problems with geometry",30,-0.2579,0.727,46
ECR-R (Experiences in Close Relationships–Revised),I prefer not to be too close to romantic partners.,23,-0.2604,1.332,49
State Trait Anxiety Inventory,"I am “calm, cool, and collected”",26,-0.2614,0.725,49
EPQ-R,Would you call yourself happy-go-lucky?,39,-0.2621,0.251,50
EPQ-R,Do you like going out a lot?,27,-0.2626,0.199,49
EPQ-R,Are all your habits good and desirable ones?,22,-0.2626,0.077,49
EPQ-R,Would you feel very sorry for an animal caught in a trap?,98,-0.2659,0.125,49
EPQ-R,Do you always practice what you preach?,85,-0.2686,0.171,47
MCQ-30,My memory can mislead me at times,13,-0.269,0.355,49
Balanced Inventory of Desirable Responding Version 6,I have never dropped litter on the street.,31,-0.2716,3.523,49
Five Facet Mindfullness Questionnaire (FFMQ),"When I have distressing thoughts or images, I just notice them and let them go.",32,-0.2731,0.708,49
EPQ-R,Do other people think of you as being very lively?,93,-0.275,0.241,47
Psychological Well-Being Scales,I enjoy making plans for the future and working to make them a reality.,28,-0.2795,1.014,48
RWA scale 22-item,"A ""woman's place"" should be wherever she wants to be. The days when women are submissive to their husbands and social conventions belong strictly in the past.",17,-0.2814,0.458,49
State Trait Anxiety Inventory,I feel calm,0,-0.2827,0.792,49
Basic Psychological Needs Scale,There is not much opportunity for me to decide for myself how to do things in my daily life.,19,-0.2843,2.625,49
EPQ-R,Do you prefer reading to meeting people?,32,-0.2849,0.253,49
EPQ-R,Do you like telling jokes and funny stories to your friends?,54,-0.2852,0.186,50
Social Dominance Orientation Scale 7,Increased social equality.,12,-0.286,0.667,49
Self-Monitoring Scale-Revised,In social situations‚ I have the ability to alter my behavior if I feel that something else is called for.,0,-0.2862,0.193,49
The Internal Representation Questionnaire,I think I have a large vocabulary in my native language compared to others,34,-0.2869,0.433,47
Moral Foundations Questionnaire (MFQ-30),Whether or not someone was cruel,11,-0.2893,0.181,49
EPQ-R,As a child did you do as you were told immediately and without grumbling?,38,-0.2894,0.214,50
BFI-2,"Is dependable, steady.",12,-0.2908,0.3,50
Need for Closure Scale (NFCS),I prefer interacting with people whose opinions are very different from my own.,33,-0.291,0.898,50
EPQ-R,Can you on the whole trust people to tell the truth?,84,-0.2913,0.222,50
Ambivalent Sexism Inventory,People are often truly happy in life without being romantically involved with a member of the other sex.,5,-0.2945,0.983,50
HEXACO,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",58,-0.2969,1.242,49
EPQ-R,Do you have many different hobbies?,0,-0.2969,0.25,47
EPQ-R,Do you like plenty of bustle and excitement around you?,89,-0.2973,0.242,49
EPQ-R,Would you call yourself tense or 'highly-strung'?,45,-0.2988,0.166,49
Bayesian Racism Scale,It is always wrong to avoid someone because members of their racial group are more likely to commit violent crimes.,5,-0.299,4.612,50
Individualism-collectivism IND-COL,I prefer to be direct and forthright when I talk with people,0,-0.3022,0.63,49
EPQ-R,Do you enjoy hurting people you love?,29,-0.3034,0.095,48
Adult Temperament Questionnaire,"Even when I feel energized, I can usually sit still without much trouble if it's necessary.",10,-0.3056,1.708,50
Adult Temperament Questionnaire,I can make myself work on a difficult task even when I don’t feel like trying.,26,-0.3123,0.693,49
Adult Temperament Questionnaire,Barely noticeable visual details rarely catch my attention.,9,-0.3131,2.92,48
BFI-2,"Is complex, a deep thinker.",39,-0.3142,0.415,49
Self-Monitoring Scale,I laugh more when I watch a comedy with others than when alone.,10,-0.3178,0.251,44
EPQ-R,Are there several people who keep trying to avoid you?,72,-0.3197,0.125,49
CERQ (Cognitive Emotion Regulation Questionnaire),I look for the positive sides to the matter.,23,-0.3242,0.302,49
Individualism-collectivism IND-COL,The wellbeing of my coworkers is important to me,11,-0.3257,0.953,48
HEXACO,I'm interested in learning about the history and politics of other countries.,6,-0.3289,0.464,50
Basic Psychological Needs Scale,I get along with people at work.,26,-0.3291,1.02,50
Individualism-collectivism IND-COL,I think it is important everyone has equal access to healthcare,33,-0.3304,0.957,48
NEED FOR COGNITION SCALE,I like to have the responsibility of handling a situation that requires a lot of thinking.,1,-0.3305,0.413,49
Psychological Well-Being Scales,My daily activities often seem trivial and unimportant to me.,16,-0.3311,1.745,48
Basic Psychological Needs Scale,I get along with people I come into contact with.,5,-0.3323,1.004,49
Need for Closure Scale (NFCS),I enjoy having a clear and structured mode of life.,32,-0.3326,0.645,49
EPQ-R,Have you ever cheated at a game?,65,-0.334,0.224,49
Basic Psychological Needs Scale,There are not many people at work that I am close to.,36,-0.334,2.287,50
EPQ-R,Would you take drugs which may have strange or dangerous effects?,24,-0.3346,0.06,48
Balanced Inventory of Desirable Responding Version 6,"When I hear people talking privately, I avoid listening.",27,-0.3349,3.366,49
NEED FOR COGNITION SCALE,I really enjoy a task that involves coming up with new solutions to problems.,10,-0.3359,0.356,49
EPQ-R,Have you ever taken anything (even a pin or button) that belonged to someone else?,26,-0.3367,0.231,49
EPQ-R,Does it worry you if you know there are mistakes in your work?,58,-0.3378,0.199,49
BFI-2,"Is polite, courteous to others.",51,-0.3392,0.304,50
Basic Psychological Needs Scale,"When I am at work, I have to do what I am told.",31,-0.3393,1.753,49
Adult Temperament Questionnaire,It is easy for me to inhibit fun behavior that would be inappropriate.,75,-0.3403,1.254,49
Adult Temperament Questionnaire,It does not frighten me if I suddenly discover someone close by.,67,-0.3428,2.874,50
IRQ,I rarely vocalize thoughts in my mind,18,-0.3432,1.117,47
Psychological Well-Being Scales,"When I think about it, I haven't really improved much as a person over the years.",14,-0.3457,2.041,47
EPQ-R,Have you ever broken or lost something belonging to someone else?,43,-0.3459,0.248,48
Moral Foundations Questionnaire (MFQ-30),Whether or not someone was denied his or her rights,12,-0.3477,0.333,49
ECR-R (Experiences in Close Relationships–Revised),I do not often worry about being abandoned.,10,-0.3487,2.056,49
Moral Foundations Questionnaire (MFQ-30),"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",1,-0.3495,0.248,47
EPQ-R,Do you enjoy practical jokes that can sometimes really hurt people?,36,-0.3498,0.094,49
Individualism-collectivism IND-COL,I usually sacrifice my self-interest for the benefit of my group,5,-0.3508,2.151,47
Interpersonal Reactivity Index (IRI),"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",17,-0.3519,1.083,49
Adult Temperament Questionnaire,I seldom become sad when I watch a sad movie.,19,-0.3528,3.666,49
Social Dominance Orientation Scale 7,We would have fewer problems if we treated people more equally.,13,-0.3538,0.708,49
Psychological Well-Being Scales,"I know that I can trust my friends, and they know they can trust me.",39,-0.3545,1.908,48
Need for Closure Scale (NFCS),"When considering most conflict situations, I can usually see how both sides could be right.",23,-0.3561,0.291,48
BFI-2,"Is reliable, can always be counted on.",42,-0.3587,0.276,50
Adult Temperament Questionnaire,I rarely become annoyed when I have to wait in a slow-moving line.,5,-0.3597,2.665,50
EPQ-R,Do you often feel 'fed-up'?,25,-0.3597,0.208,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think about how I can best cope with the situation.,17,-0.3604,0.586,50
IRQ,I think I have a large vocabulary in my native language compared to others,34,-0.3626,0.466,50
MCQ-30,I think a lot about my thoughts,2,-0.3627,0.401,47
Psychological Well-Being Scales,I tend to be influenced by people with strong opinions.,18,-0.3636,1.485,48
ECR-R (Experiences in Close Relationships–Revised),I rarely worry about my partner leaving me.,8,-0.3638,1.476,47
Five Facet Mindfullness Questionnaire (FFMQ),It seems I am “running on automatic” without much awareness of what I’m doing.,22,-0.3639,1.085,48
RWA scale 22-item,"There is no ""one right way"" to live life; everybody has to create their own way.",19,-0.3641,1.01,48
